	ComplexName	UniProtIDs	GeneNames
16	PA700 complex	P48556;O75832;P51665;O43242;Q9UNM6;O00487;P62195;Q16401;P62333;Q13200;P17980;P43686;Q99460;P62191;O00231;O00232;Q15008;P55036;P35998;O00233	PSMD8;PSMD10;PSMD7;PSMD3;PSMD13;PSMD14;PSMC5;PSMD5;PSMC6;PSMD2;PSMC3;PSMC4;PSMD1;PSMC1;PSMD11;PSMD12;PSMD6;PSMD4;PSMC2;PSMD9
17	Aqp4-Dag1-Dmd-Snta1 complex	Q91XP6;P11530;P47863;Q498T0	Dag1;Dmd;Aqp4;Snta1
18	AP1 adaptor complex	P56377;O75843;O43747;Q9BXS5;Q96PC3;Q9Y6Q5;Q10567;P61966	AP1S2;AP1G2;AP1G1;AP1M1;AP1S3;AP1M2;AP1B1;AP1S1
19	Immunoproteasome	P28076;O70435;P99026;Q9QUM9;Q9R1P1;O09061;Q9R1P3;Q9R1P4;Q9Z2U1;P28063;P49722;Q9R1P0;O35955;Q9Z2U0	Psmb9;Psma3;Psmb4;Psma6;Psmb3;Psmb1;Psmb2;Psma1;Psma5;Psmb8;Psma2;Psma4;Psmb10;Psma7
20	Mi-2/NuRD-MTA3 complex	P41182;O94776;Q13547;O95983;Q9BTC8	BCL6;MTA2;HDAC1;MBD3;MTA3
21	Cask-Mint-Veli tripartite complex	Q9Z250;O35430;Q62915	Lin7a;Apba1;Cask
22	AP2 adaptor complex	P17427;P84092;P62743;P63010	Ap2a2;Ap2m1;Ap2s1;AP2B1
23	DNA polymerase alpha-primase complex	P33611;P33609;P33610;P20664	Pola2;Pola1;Prim2;Prim1
24	RGS7-Gbeta5-Galphaq complex	P21279;O46470;P62881	Gnaq;RGS7;Gnb5
25	DNMT3B complex	O95347;Q9UBC3;O60264;Q13547;O95239;Q9NTJ3;Q96ST3	SMC2;DNMT3B;SMARCA5;HDAC1;KIF4A;SMC4;SIN3A
26	RAB5-RABAPTIN5\u2013RABEX5 complex	Q15276;Q9UJ41;P20339	RABEP1;RABGEF1;RAB5A
27	CCT complex (chaperonin containing TCP1 complex)	P80315;P80316;P42932;P80314;P11983;P80318;P80313;P80317	Cct4;Cct5;Cct8;Cct2;Tcp1;Cct3;Cct7;Cct6a
28	Gbeta5-rgs7 complex	P49803;P62882	Rgs7;Gnb5
29	SIN3 complex	O00422;Q09028;Q16576;Q13547;Q92769;Q96ST3;O75446	SAP18;RBBP4;RBBP7;HDAC1;HDAC2;SIN3A;SAP30
30	HDAC4-ERK1 complex	P56524;P27361	HDAC4;MAPK3
31	Elongin (SIII) complex	Q63187;P62870;P83941	Eloa;Elob;Eloc
32	HDAC4-ERK2 complex	P56524;P28482	HDAC4;MAPK1
33	SMRT complex	Q9BZK7;Q13227;O60907;Q9Y618;O15379	TBL1XR1;GPS2;TBL1X;NCOR2;HDAC3
34	AP3 adaptor complex	P59780;Q92572;Q13367;P53677;Q9Y2T2;O14617;O00203	AP3S2;AP3S1;AP3B2;AP3M2;AP3M1;AP3D1;AP3B1
35	Interferon-stimulated gene factor 3 transcription complex ISGF3	P52630;P42224;Q00978	STAT2;STAT1;IRF9
36	Mi2/NuRD complex	O94776;Q09028;Q16576;Q13547;O95983;Q92769;Q14839	MTA2;RBBP4;RBBP7;HDAC1;MBD3;HDAC2;CHD4
37	MeCP1 complex	O94776;Q9UBB5;Q09028;Q16576;Q13547;O95983;Q92769;Q14839	MTA2;MBD2;RBBP4;RBBP7;HDAC1;MBD3;HDAC2;CHD4
38	Multiprotein trafficking complex	P52188;O35430;Q792I0;Q62915;Q62696	Kcnj12;Apba1;Lin7c;Cask;Dlg1
39	TRAP complex	O60244;P10827;Q93074;Q15648;O75448;Q9NVC6;Q9Y2W1;Q9Y2X0	MED14;THRA;MED12;MED1;MED24;MED17;THRAP3;MED16
40	AP4 adaptor complex	Q9Y6B7;O00189;Q9Y587;Q9UPM8	AP4B1;AP4M1;AP4S1;AP4E1
41	ApoB mRNA editing enzyme complex	Q99PF5;Q923K9;P38483	Khsrp;A1cf;Apobec1
42	CLIC4 complex	P60711;P62260;P63102;P39052;Q9Z0W7;P07335;P68370	Actb;Ywhae;Ywhaz;Dnm2;Clic4;Ckb;Tuba1a
43	HOMER3-IP3R-TRPC1 complex	P48995;Q14573;Q9NSC5	TRPC1;ITPR3;HOMER3
44	Dynein complex	P63036;Q62871;Q9QXU8;P38650;P62628;P63170;Q63100;Q9JJ79;Q9Z336	Dnaja1;Dync1i2;Dync1li1;Dync1h1;Dynlrb1;Dynll1;Dync1i1;Dync2h1;Dynlt1
45	nNos-Capon-Dexras1 complex	O35626;Q9D3A8;Q9Z0J4	Rasd1;Nos1ap;Nos1
46	nNos-Capon-Syn1 complex	P29476;O54960;P09951	Nos1;Nos1ap;Syn1
47	Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)	Q13616;P62877;P63208;Q13309	CUL1;RBX1;SKP1;SKP2
48	Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)	Q8N3Y1;P62877;Q14999;P63208	FBXW8;RBX1;CUL7;SKP1
49	STMN4-Tubulin complex	P81948;Q0VCK4;E1BJK2	TUBA4A;STMN4;TUBB1
50	Nucleic acid channel complex	P70581;O88989	Nup58;Mdh1
51	STMN1-Tubulin complex	P81948;Q3T0C7;E1BJK2	TUBA4A;STMN1;TUBB1
52	NUMAC complex (nucleosomal methylation activator complex)	Q12824;O14497;P51532;Q96GM5;Q96KG9;Q969G3;Q86X55;Q92922;P60709;Q8TAQ2	SMARCB1;ARID1A;SMARCA4;SMARCD1;SCYL1;SMARCE1;CARM1;SMARCC1;ACTB;SMARCC2
53	Nup 107-160 subcomplex	Q9BW27;P52948;Q8NFH3;Q12769;Q8WUM0;Q8NFH4;P55735;P57740;Q96EE3	NUP85;NUP98;NUP43;NUP160;NUP133;NUP37;SEC13;NUP107;SEH1L
54	SNARE complex (Bet1, Gosr1, Gosr2, Scfd1, Stx5, Sec22b)	Q62896;Q08851;Q62991;Q62931;Q4KM74;O35165	Bet1;Stx5;Scfd1;Gosr1;Sec22b;Gosr2
55	FA complex (Fanconi anemia complex), cytoplasmic	O15287;Q9NPI8;O15360;Q00597	FANCG;FANCF;FANCA;FANCC
56	CD28-transactivation complex	P10747;P19338	CD28;NCL
57	Anaphase-promoting complex	Q9UJX6;P30260;Q9H1A4;Q13042;Q9UJX3;Q9UJX2;Q9UJX5;Q9UJX4	ANAPC2;CDC27;ANAPC1;CDC16;ANAPC7;CDC23;ANAPC4;ANAPC5
58	Ku antigen-NARG1 complex	P12956;P13010;Q9BXJ9	XRCC6;XRCC5;NAA15
59	Anaphase-promoting complex	Q9UJX6;P30260;Q9H1A4;Q13042;Q9UJX3;Q9UJX2;Q9UJX5;Q9UJX4;Q9UM13	ANAPC2;CDC27;ANAPC1;CDC16;ANAPC7;CDC23;ANAPC4;ANAPC5;ANAPC10
60	Anaphase-promoting complex	Q91W96;Q3V036;Q9WVM3;P53995;Q8K2H6;Q8BZQ7;Q8R349;Q8BTZ4;Q8BGZ4	Anapc4;Ccdc27;Anapc7;Anapc1;Anapc10;Anapc2;Cdc16;Anapc5;Cdc23
61	p300-MDM2-p53 protein complex	Q00987;Q09472;P04637	MDM2;EP300;TP53
62	hNURF complex	P28370;Q16576;Q09028;Q12830	SMARCA1;RBBP7;RBBP4;BPTF
63	Nucleolar remodeling complex (NoRC complex)	Q91YE5;Q91ZW3	Baz2a;Smarca5
64	Meiotic cohesin complex	P70281;Q9CW03;Q920F6;Q8C5S7	Sycp3;Smc3;Smc1b;Rec8
65	RNA polymerase II holoenzyme complex	P19387;P24928;P19388;P61218;O15514;P32780;P19447;P36954;P52435;P29083;P35269;P62875;Q92759;P18074;Q00403;Q13888;Q13889;P13984;P53803;P62487;P30876;P29084;P52434;P20226	POLR2C;POLR2A;POLR2E;POLR2F;POLR2D;GTF2H1;ERCC3;POLR2I;POLR2J;GTF2E1;GTF2F1;POLR2L;GTF2H4;ERCC2;GTF2B;GTF2H2;GTF2H3;GTF2F2;POLR2K;POLR2G;POLR2B;GTF2E2;POLR2H;TBP
66	RNA polymerase II core complex	P19387;P53803;P24928;P36954;P52435;P62875;P19388;P62487;P30876;P52434;P61218;O15514	POLR2C;POLR2K;POLR2A;POLR2I;POLR2J;POLR2L;POLR2E;POLR2G;POLR2B;POLR2H;POLR2F;POLR2D
67	Srf-myogenin-E12 complex	P12979;Q9JM73;P15806	Myog;Srf;Tcf3
68	TFIIH transcription factor complex	P19447;Q92759;P18074;P51948;Q13888;Q13889;P50613;P51946;P32780	ERCC3;GTF2H4;ERCC2;MNAT1;GTF2H2;GTF2H3;CDK7;CCNH;GTF2H1
69	Fertilin complex (Adam1b, Adam2)	Q60718;Q8R534	Adam2;Adam1b
70	Prefoldin complex	P61758;Q9UHV9;Q9NQP4;O15212;Q99471;O60925	VBP1;PFDN2;PFDN4;PFDN6;PFDN5;PFDN1
71	SNAPc (small nuclear RNA-activating protein) complex	Q92966;O75971;Q5SXM2;Q16533;Q13487	SNAPC3;SNAPC5;SNAPC4;SNAPC1;SNAPC2
72	Polycomb repressive complex 1 (PRC1, hPRC-H)	Q8IXK0;Q06587;P78364;P35226;O00257;Q8NDX5;O60264;P0DMV8;Q14781;Q96GD3;Q99496;P25490;Q9HC52	PHC2;RING1;PHC1;BMI1;CBX4;PHC3;SMARCA5;HSPA1A;CBX2;SCMH1;RNF2;YY1;CBX8
73	GPR56-CD81-Galpha(q/11)-Gbeta complex	Q9Y653;P62873;P60033;P50148;P29992	ADGRG1;GNB1;CD81;GNAQ;GNA11
74	GPI-GnT activity complex	Q14442;Q92535;Q9BRB3;P37287	PIGH;PIGC;PIGQ;PIGA
75	Lymphotoxin beta receptor complex	P01374;Q06643;P36941	LTA;LTB;LTBR
76	Rnase/Mrp complex	Q969H6;Q9H633;O75818;O75817;Q9BUL9;P78345;Q99575;P78346;O95707;O95059	POP5;RPP21;RPP40;POP7;RPP25;RPP38;POP1;RPP30;POP4;RPP14
77	RGS9-GNB5-GNAT1-R9AP complex	O46469;A5PJS1;P04695;Q8MJG0	RGS9;GNB5;GNAT1;RGS9BP
78	CCT complex (chaperonin containing TCP1 complex)	P50991;P49368;P48643;P17987;P40227;Q99832;P50990;P78371	CCT4;CCT3;CCT5;TCP1;CCT6A;CCT7;CCT8;CCT2
79	NDC80 kinetochore complex	Q9HBM1;Q9BZD4;Q8NBT2;O14777	SPC25;NUF2;SPC24;NDC80
80	PIDDsome complex	Q9HB75;P42575;P78560	PIDD1;CASP2;CRADD
81	Troponin complex	P02641;P02643;P02586	TNNT3;TNNI2;TNNC2
82	SDH-mABC1-PIC-ANT-ATPase complex	Q920L2;P15999;P16036;Q5RKI8;Q05962;P21913	Sdha;Atp5f1a;Slc25a3;Abcb8;Slc25a4;Sdhb
83	E-box sequence-binding complex	Q9BXY8;Q02577;P25791;Q86U70	BEX2;NHLH2;LMO2;LDB1
84	CD147-gamma-secretase complex	Q96BI3;Q9NZ42;P35613;P49768;Q92542	APH1A;PSENEN;BSG;PSEN1;NCSTN
85	APP-APBB1-LRP1 complex	Q07954;P05067;O00213	LRP1;APP;APBB1
86	Gamma-BAR-AP1 complex	P56377;O75843;O43747;Q63HQ0;Q9BXS5;Q96PC3;Q9Y6Q5;Q10567;P61966	AP1S2;AP1G2;AP1G1;AP1AR;AP1M1;AP1S3;AP1M2;AP1B1;AP1S1
87	CCT-Prefoldin complex	Q2NKZ1;P61758;Q3T0K2;Q3ZBH0;Q9UHV9;Q3T115;Q2T9X2;Q3MHL7;Q3ZCI9;Q9NQP4;O15212;Q32L40;Q99471;O60925	CCT7;VBP1;CCT3;CCT2;PFDN2;CCT5;CCT4;CCT6A;CCT8;PFDN4;PFDN6;TCP1;PFDN5;PFDN1
88	Src-dynamin-synapsin complex	O88935;P05480;P39053	Syn1;Src;Dnm1
89	Src-dynamin-synapsin-alpha-adaptin complex	P21575;P09951;Q9WUD9;P18484	Dnm1;Syn1;Src;Ap2a2
90	PBAF complex (Polybromo- and BAF containing complex)	Q12824;P51532;Q96GM5;O96019;Q969G3;Q92922;Q68CP9;P60709;Q8TAQ2;Q86U86	SMARCB1;SMARCA4;SMARCD1;ACTL6A;SMARCE1;SMARCC1;ARID2;ACTB;SMARCC2;PBRM1
91	CCT complex (chaperonin containing TCP1 complex), testis specific	Q2NKZ1;Q3T0K2;Q3ZBH0;Q3T115;Q2T9X2;Q3T084;Q3ZCI9;Q32L40	CCT7;CCT3;CCT2;CCT5;CCT4;CCT6B;CCT8;TCP1
92	TFIIE complex	P29083;P29084	GTF2E1;GTF2E2
93	TFIIF complex (transcription factor IIF)	P13984;P35269	GTF2F2;GTF2F1
94	Src1-Ep300-Crebbp complex	P70365;Q8BJ14;P45481	Ncoa1;Ep300;Crebbp
95	Retrotranslocation complex	Q86TM6;Q9BUN8;P57678	SYVN1;DERL1;GEMIN4
96	ATP synthasome	P31399;P10719;Q09073;P15999;P35435;P35434;P16036;P29419;Q71S46;P19511;P11608;Q06647;Q06646;P21571;Q06645;P29418;P05504	Atp5pd;Atp5f1b;Slc25a5;Atp5f1a;Atp5f1c;Atp5f1d;Slc25a3;Atp5me;Atp5mc3;Atp5pb;Mt-atp8;Atp5po;Atp5mc2;Atp5pf;Atp5mc1;Atp5f1e;Mt-atp6
97	Condensin I-PARP-1-XRCC1 complex	Q9BPX3;P18887;O95347;P09874;Q9NTJ3;Q15021;Q15003	NCAPG;XRCC1;SMC2;PARP1;SMC4;NCAPD2;NCAPH
98	Condensin II	O95347;P42695;Q9NTJ3;Q86XI2;Q6IBW4	SMC2;NCAPD3;SMC4;NCAPG2;NCAPH2
99	SWAP complex	P09405;Q61937;P11103;Q6A028	Ncl;Npm1;Parp1;Swap70
100	COG complex	Q14746;Q9Y2V7;Q9H9E3;Q96JB2;P83436;Q9UP83;Q96MW5;Q8WTW3	COG2;COG6;COG4;COG3;COG7;COG5;COG8;COG1
101	Cohesin-SA1 complex	Q8WVM7;Q14683;O60216;Q9UQE7	STAG1;SMC1A;RAD21;SMC3
102	Cohesin-SA2 complex	Q9UQE7;Q14683;O60216;Q8N3U4	SMC3;SMC1A;RAD21;STAG2
103	Protein-sorting complex (Stam2, Hgs, Eps15)	O88811;P42567;Q99LI8	Stam2;Eps15;Hgs
104	Protein-sorting complex (Stam1, Hgs, Eps15)	P42567;Q92783;Q99LI8	Eps15;STAM;Hgs
105	Ric-8A G(i) alpha-1 subunit complex	Q80ZG1;P10824	Ric8a;Gnai1
106	Ric-8A G(i) alpha-2 subunit complex	Q80ZG1;P04897	Ric8a;Gnai2
107	Ric-8A G(o) alpha-1 subunit complex	Q80ZG1;P59215	Ric8a;Gnao1
108	MRN complex (MRE11-RAD50-NBN complex)	O60934;Q92878;P49959	NBN;RAD50;MRE11
109	Ric-8A G(i) alpha-1 subunit complex	Q80ZG1;P10824	Ric8a;Gnai1
110	Ric-8A G(q) alpha subunit complex	Q80ZG1;P82471	Ric8a;Gnaq
111	Ric-8A G alpha 13 complex	Q6Q7Y5;Q80ZG1	Gna13;Ric8a
112	OGT-TRAK1-TRAK2 complex	O60296;Q9UPV9;O15294	TRAK2;TRAK1;OGT
113	Respiratory chain complex I (holoenzyme), mitochondrial	O75251;O95178;O43677;O95182;P03915;O00217;O43678;O95298;O95169;P19404;P17568;O95139;P51970;O75489;P03891;O95167;P03901;O15239;P28331;Q9UI09;P03897;Q9Y6M9;O43674;O43920;O95299;O14561;P03886;Q86Y39;O43181;O00483;Q16718;O75306;Q9NX14;O95168;Q9P0J0;O75438;P56556;Q16795;P56181;O43676;P03923;O96000;P49821;O75380	NDUFS7;NDUFB2;NDUFC1;NDUFA7;MT-ND5;NDUFS8;NDUFA2;NDUFC2;NDUFB8;NDUFV2;NDUFB7;NDUFB6;NDUFA8;NDUFS3;MT-ND2;NDUFA3;MT-ND4L;NDUFA1;NDUFS1;NDUFA12;MT-ND3;NDUFB9;NDUFB5;NDUFS5;NDUFA10;NDUFAB1;MT-ND1;NDUFA11;NDUFS4;NDUFA4;NDUFA5;NDUFS2;NDUFB11;NDUFB4;NDUFA13;NDUFB1;NDUFA6;NDUFA9;NDUFV3;NDUFB3;MT-ND6;NDUFB10;NDUFV1;NDUFS6
114	Nephrin multiprotein complex	Q9Z1P2;Q9R044;P16086;Q62915;O88382;Q9WUX0;B5DFH1	Actn1;Nphs1;Sptan1;Cask;Magi2;sptbn1;Iqgap1
115	PNUTS-PP1 complex	P62136;Q96QC0	PPP1CA;PPP1R10
116	26S proteasome	P49720;P49721;P60900;Q9UNM6;O14818;P62195;P28072;P25789;P62333;P17980;P43686;P20618;P28066;P28070;P62191;P28074;P25787;P25788;P25786;Q99436;P55036;P35998	PSMB3;PSMB2;PSMA6;PSMD13;PSMA7;PSMC5;PSMB6;PSMA4;PSMC6;PSMC3;PSMC4;PSMB1;PSMA5;PSMB4;PSMC1;PSMB5;PSMA2;PSMA3;PSMA1;PSMB7;PSMD4;PSMC2
117	Synaptotagmin-sodium channel complex (Syt1-Scn1a-Scn1b)	Q00954;P21707;P04774	Scn1b;Syt1;Scn1a
118	Synaptotagmin-sodium channel complex (Syt2-Scn1a-Scn1b)	Q00954;P04774;P29101	Scn1b;Scn1a;Syt2
119	Synaptotagmin-sodium channel complex  (Syt1-Scn2a-Scn1b)	Q00954;P21707;P04775	Scn1b;Syt1;Scn2a
120	Synaptotagmin-sodium channel complex (Syt2-Scn2a-Scn1b)	Q00954;P04775;P29101	Scn1b;Scn2a;Syt2
121	Wave-2 complex	Q9Y6W5;Q8WUW1;Q9Y2A7;Q7L576;Q8IZP0	WASF2;BRK1;NCKAP1;CYFIP1;ABI1
122	Wave-2 complex (Rac-activated)	Q8CBW3;Q8BPG5;Q8BH43;Q7TMB8;P28660	Abi1;Rac1;Wasf2;Cyfip1;Nckap1
123	Wave-2 complex	Q8BH43;Q8CBW3;Q7TMB8;P28660	Wasf2;Abi1;Cyfip1;Nckap1
124	BAF complex	Q12824;O14497;P51532;Q96GM5;P63261;O96019;P51531;O94805;Q969G3;Q8NFD5;Q92922;P60709;Q8TAQ2	SMARCB1;ARID1A;SMARCA4;SMARCD1;ACTG1;ACTL6A;SMARCA2;ACTL6B;SMARCE1;ARID1B;SMARCC1;ACTB;SMARCC2
125	Mitotic checkpoint complex (MCC)	O43684;Q13257;Q12834;O60566	BUB3;MAD2L1;CDC20;BUB1B
126	20S proteasome	P28072;P25788;P25786;P25789;P49720;O14818;Q99436;P49721;P20618;P60900;P28066;P28070;P28074;P25787	PSMB6;PSMA3;PSMA1;PSMA4;PSMB3;PSMA7;PSMB7;PSMB2;PSMB1;PSMA6;PSMA5;PSMB4;PSMB5;PSMA2
127	PA28-20S proteasome	P28072;P25788;P25786;P25789;P49720;O14818;Q99436;P49721;P20618;P60900;Q06323;P28066;P28070;Q9UL46;P28074;P25787	PSMB6;PSMA3;PSMA1;PSMA4;PSMB3;PSMA7;PSMB7;PSMB2;PSMB1;PSMA6;PSME1;PSMA5;PSMB4;PSME2;PSMB5;PSMA2
128	PA700-20S-PA28 complex	P48556;P49720;O75832;P49721;P60900;P51665;O43242;Q9UNM6;O14818;O00487;Q06323;P62195;P28072;P25789;Q16401;P62333;Q13200;P17980;P43686;P20618;Q9UL46;P28066;P28070;Q99460;P28074;P62191;P25787;O00231;O00232;P25786;P25788;Q15008;Q99436;P55036;P35998;O00233	PSMD8;PSMB3;PSMD10;PSMB2;PSMA6;PSMD7;PSMD3;PSMD13;PSMA7;PSMD14;PSME1;PSMC5;PSMB6;PSMA4;PSMD5;PSMC6;PSMD2;PSMC3;PSMC4;PSMB1;PSME2;PSMA5;PSMB4;PSMD1;PSMB5;PSMC1;PSMA2;PSMD11;PSMD12;PSMA1;PSMA3;PSMD6;PSMB7;PSMD4;PSMC2;PSMD9
129	PA28gamma-20S proteasome	P28072;P25788;P61289;P25786;P25789;P49720;O14818;Q99436;P49721;P20618;P60900;P28066;P28070;P28074;P25787	PSMB6;PSMA3;PSME3;PSMA1;PSMA4;PSMB3;PSMA7;PSMB7;PSMB2;PSMB1;PSMA6;PSMA5;PSMB4;PSMB5;PSMA2
130	Ubiquitin E3 ligase (Lrrc41, Tceb1, Tceb2, Cul5, Rbx1)	P83941;Q5M9H1;Q9JJ31;P62870;Q498D8	Eloc;Lrrc41;Cul5;Elob;Rbx1
131	Ubiquitin E3 ligase (Vhl, Tceb1, Tceb2, Cul5, Rbx1)	Q64259;P83941;Q9JJ31;P62870;Q498D8	Vhl;Eloc;Cul5;Elob;Rbx1
132	Ubiquitin E3 ligase (Tceb1, Tceb2, Tceb3, Cul5, Rbx1)	P83941;Q63187;Q9JJ31;P62870;Q498D8	Eloc;Eloa;Cul5;Elob;Rbx1
133	Ubiquitin E3 ligase (Socs1, Tceb1, Tceb2, Cul5, Rbx1)	P83941;Q9JJ31;P62870;Q498D8;Q9QX78	Eloc;Cul5;Elob;Rbx1;Socs1
134	Ubiquitin E3 ligase (Wsb1, Tceb1, Tceb2, Cul5, Rbx1)	Q4KM78;P83941;Q9JJ31;P62870;Q498D8	Wsb1;Eloc;Cul5;Elob;Rbx1
135	HUIC complex	P38398;Q99728	BRCA1;BARD1
136	Ubiquitin E3 ligase (Med8, Tceb1, Tceb2, Cul2, Rbx1)	D3ZM37;P83941;A0A0G2K761;P62870;Q498D8	Med8;Eloc;Cul2;Elob;Rbx1
137	Ubiquitin E3 ligase (Asb2, Tceb1, Tceb2, Cul5, Rbx1)	Q5U2S6;P83941;Q9JJ31;P62870;Q498D8	Asb2;Eloc;Cul5;Elob;Rbx1
138	Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1)	P40337;Q13617;Q15369;Q15370;P62877	VHL;CUL2;ELOC;ELOB;RBX1
139	Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)	Q15369;Q93034;Q15370;Q96Q27;Q9UBF6	ELOC;CUL5;ELOB;ASB2;RNF7
140	Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)	Q9Y576;Q15369;Q93034;Q15370;Q9UBF6	ASB1;ELOC;CUL5;ELOB;RNF7
141	Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)	Q15369;Q9NWX5;Q93034;Q15370;Q9UBF6	ELOC;ASB6;CUL5;ELOB;RNF7
142	Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)	Q9H672;Q15369;Q93034;Q15370;Q9UBF6	ASB7;ELOC;CUL5;ELOB;RNF7
143	Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)	Q15369;Q93034;Q15370;Q8WXK4;Q9UBF6	ELOC;CUL5;ELOB;ASB12;RNF7
144	DNA ligase IV-XRCC1 complex	P49917;P18887	LIG4;XRCC1
145	Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1)	Q15369;Q93034;Q15370;Q9Y6I7;P62877	ELOC;CUL5;ELOB;WSB1;RBX1
146	PDZK1-NaPiIIa-MAP17 complex	Q9JIL4;Q60825;Q9CQH0	Pdzk1;Slc34a1;Pdzk1ip1
147	CAND1-CUL1-RBX1 complex	P62877;Q13616;Q86VP6	RBX1;CUL1;CAND1
148	ARF-Mule complex	Q8N726;Q7Z6Z7;P06748	CDKN2A;HUWE1;NPM1
149	CAND1-CUL2-RBX1 complex	Q13617;P62877;Q86VP6	CUL2;RBX1;CAND1
150	CAND1-CUL3-RBX1 complex	Q86VP6;P62877;Q13618	CAND1;RBX1;CUL3
151	CAND1-CUL4A-RBX1 complex	Q13619;P62877;Q86VP6	CUL4A;RBX1;CAND1
152	CAND1-CUL4B-RBX1 complex	P62877;Q13620;Q86VP6	RBX1;CUL4B;CAND1
153	Ubiquitin E3 ligase (SKP1A, SKP2, CUL1)	Q13616;P63208;Q13309	CUL1;SKP1;SKP2
154	Ubiquitin E3 ligase (SKP1A, BTRC, CUL1)	Q13616;Q9Y297;P63208	CUL1;BTRC;SKP1
155	SMCC complex	O60244;Q13503;Q15648;O75448;P49336;O75586;Q9Y3C7;P24863	MED14;MED21;MED1;MED24;CDK8;MED6;MED31;CCNC
156	NAT complex	O60244;Q9ULK4;Q13503;P49336;O75586;P24863;Q9BTT4	MED14;MED23;MED21;CDK8;MED6;CCNC;MED10
157	Mediator complex	Q9ULK4;Q9NX70;Q15528;O75448;Q9Y2X0;P49336;Q6P2C8;O75586;Q9UHV7;Q9NPJ6;Q9BTT4;Q9P086;O60244;O95402;Q9BUE0;Q71F56;Q9H944;Q13503;P24863;Q96HR3;O43513;Q93074;Q15648;Q96G25;Q9H204;Q9NVC6;Q96RN5;A0JLT2;Q9Y3C7;Q9BWU1;Q71SY5;Q9NWA0	MED23;MED29;MED22;MED24;MED16;CDK8;MED27;MED6;MED13;MED4;MED10;MED11;MED14;MED26;MED18;MED13L;MED20;MED21;CCNC;MED30;MED7;MED12;MED1;MED8;MED28;MED17;MED15;MED19;MED31;CDK19;MED25;MED9
158	ARC complex	O60244;O95402;O43513;Q9ULK4;Q93074;Q15648;Q9UKU7;O75448;Q9NVC6;Q96G25;Q96RN5;O75586;Q9UHV7;Q71SY5;Q9NPJ6	MED14;MED26;MED7;MED23;MED12;MED1;ACAD8;MED24;MED17;MED8;MED15;MED6;MED13;MED25;MED4
159	HuCHRAC complex	Q9NRF9;O60264;Q9NRG0;Q9NRL2	POLE3;SMARCA5;CHRAC1;BAZ1A
160	WICH complex	Q9UIG0;O60264	BAZ1B;SMARCA5
161	Ags3-Lkb1-Gnai3 complex	Q9R080;P08753	Gpsm1;Gnai3
